No,Teks,Kategori
1,"Bila kau sanggup untuk melupakan dia, Biarkan aku hadir dan menata Ruang hati yang telah tertutup lama",Naratif
2,"Jika kau masih ragu untuk menerima, Biarkan hati kecilmu bicara, Karena ku yakin akan datang saatnya",Naratif
3,"Walau harus menunggu seribu tahun lamanya, Takkan pernah berhenti untuk selalu percaya",Naratif
4,"Sudah sewindu ku di dekatmu, Tak mungkin bila engkau tak tahu Bila ku menyimpan rasa yang kupendam sejak lama",Naratif
5,"Setiap pagi kumenunggu di depan pintu, Siapkan senyum terbaikku agar cerah harimu, Cukup bagiku melihatmu tersenyum manis",Naratif
6,Sesaat dia datang pesona bagai pangeran dan beri kau harapan bualan cinta di masa depan Dan kau lupakan aku semua usahaku,Naratif
7," tak akan lagi kumenunggumu di depan pintu, tak ada lagi tutur manis kumerayumu",Naratif
8,"Jujur memang sakit di hati Bila kini nyatanya kau memilih dia, Takkan lagi kusebodoh ini Larut di dalam angan-angan tanpa tujuan",Naratif
9,"Setidaknya punya tujuh puluh tahun, Tak bisa melompat kumahir berenang, Bahagia melihat kawanan betina Berkumpul bersama sampai ajal",Naratif
10,"Besar dan berani berperang sendiri, Yang aku hindari hanya semut kecil, Otak ini cerdas kurakit perangkat, Wajahmu tak akan pernah kulupa",Naratif
11,"Bila jatuh gajah lain membantu, Tubuhmu disituasi rela jadi tamengku",Naratif
12,"Asmara telah terkalibrasi frekuensi yang sama, Saatnya untuk mengikat janji merangkum indahnya",Naratif
13,"biarlah merayu di ruang biru, Bias kita jadi taksu gairah kalbu mendayu",Naratif
14,Jadikan hanya aku satu-satunya sang garwa pembage sang pelipur lara nyanyikan ku biduk setia,Naratif
15,Kini saatnya merangkai binar asmara Melebur untuk satukan ego dalam indahnya,Naratif
16,Berdansa dalam bahtera mahligai rasa merajut ketulusan jiwa,Naratif
17,mengabdi dalam indahnya kalbu Mengukir ruang renjana selamanya,Naratif
18,"Seperti landak yang tak punya teman, Ia menggonggong bagai suara hujan",Naratif
19,"kalau saat hancur ku disayang, Apalagi saat ku jadi juara",Naratif
20,Menjadi gagah saat ku tak bisa,Naratif
21,Sedikit kujelaskan tentangku dan kamu Agar seisi dunia tahu,Naratif
22,"Keras kepalaku sama denganmu, caraku marah caraku tersenyum",Naratif
23,Seperti detak jantung yang bertaut Nyawaku nyala karena denganmu,Naratif
24,Aku masih ada sampai di sini Melihatmu kuat setengah mati,Naratif
25,"aku masih tak mengerti banyak hal, Semuanya berenang di kepala",Naratif
26,"dan semua yang kau tahu tentangnya, Menjadi jawab saat ku bertanya",Naratif
27,Semoga lama hidupmu di sini Melihatku berjuang sampai akhir,Naratif
28,"Ku sudah tau dari awal, Mencintai bukan perkara kebal Jauh dari kata mudah dan asal, Kupelajari sedari kecil",Naratif
29,"Berteriak di atas tenggorokan, Hujan serapah dan makian, Hancur lebih mudah dari bertahan",Naratif
30,Dan dari situ cara pandangku Melihat cinta berwarna keruh Seperti bertaruh apa kau dan aku akan jadi sama seperti itu,Naratif
31,Aku punya harapan untuk kita Yang masih kecil di mata semua Walau takut kadang menyebalkan Tapi sepanjang hidup akan kuhabiskan,Naratif
32,Walau tak terdengar masuk akal Bagi mereka yang tak percaya Tapi kita punya kita Yang akan melawan dunia,Naratif
33,"Hadir di ujung relung petang Tenteram menyeduh rasa tenang, Menggembala si angin tenggara",Naratif
34,"Mengajak jiwa yang bergejolak untuk melunak, Melepas kesah resah yang mengaduh",Naratif
35,"Tenteram mega-mega banyu ilalang, Mencari teduh di antara gaduh penuh keluh",Naratif
36,"Kita beranjak dewasa, jauh terburu seharusnya Bagai bintang yang jatuh jauh terburu waktu, mati lebih cepat",Naratif
37,"Perjalanan membawamu bertemu denganku, ku bertemu kamu",Naratif
38,"Sepertimu yang kucari, Konon aku juga seperti yang kau cari",Naratif
39,"Kukira kita asam dan garam Dan kita bertemu di belanga, Kisah yang ternyata tak seindah itu",Naratif
40,"Kukira kita akan bersama, Begitu banyak yang sama, latarmu dan latarku",Naratif
41,"ku kira takkan ada kendala, ku kira ini kan mudah, kau aku jadi kita",Naratif
42,"Kasih sayangmu membekas, Redam kini sudah pijar istimewa, Entah apa maksud dunia Tentang ujung cerita, kita tak bersama",Naratif
43,"Semoga rindu ini menghilang, Konon katanya waktu sembuhkan, Akan adakah lagi yang sepertimu",Naratif
44,"Hari ini kau berdamai dengan dirimu sendiri, Kau maafkan semua salahmu ampuni dirimu",Naratif
45,"Hari ini ajak lagi dirimu bicara mesra, berjujurlah pada dirimu kau bisa percaya",Naratif
