no,teks,kategori
1,Lionel Messi mencetak gol indah pada menit terakhir pertandingan,olahraga
2,Serena Williams memenangkan pertandingan tenis dengan straight set,olahraga
3,Timnas Indonesia meraih kemenangan di ajang SEA Games,olahraga
4,Pembalap MotoGP tersebut mengalami kecelakaan hebat saat balapan,olahraga
5,Cristiano Ronaldo mencetak hat-trick dalam pertandingan Liga Champions,olahraga
6,Michael Jordan dikenal sebagai salah satu pemain basket terbaik sepanjang masa,olahraga
7,Tim voli putri Indonesia berhasil merebut medali emas,olahraga
8,Usain Bolt memecahkan rekor dunia di nomor lari 100 meter,olahraga
9,Kejuaraan dunia bulu tangkis berlangsung seru tahun ini,olahraga
10,Tim sepak bola favorit saya kalah dalam pertandingan semalam,olahraga
11,Pebalap F1 dari tim Mercedes memenangkan Grand Prix Monaco,olahraga
12,Rafael Nadal menunjukkan dominasinya di lapangan tanah liat,olahraga
13,Pertandingan final Piala Dunia selalu dinantikan para penggemar sepak bola,olahraga
14,Atlet angkat besi Indonesia berhasil memecahkan rekor nasional,olahraga
15,Tim hoki es Kanada memenangkan medali emas di Olimpiade Musim Dingin,olahraga
16,Marathon di Boston diikuti oleh ribuan pelari dari berbagai negara,olahraga
17,Tim basket Golden State Warriors tampil gemilang di musim ini,olahraga
18,Tiger Woods kembali menunjukkan performa terbaiknya di turnamen golf,olahraga
19,Turnamen tenis Wimbledon selalu menjadi sorotan di musim panas,olahraga
20,Kiper tim lawan tampil luar biasa dengan beberapa penyelamatan gemilang,olahraga
21,Kejuaraan dunia renang diadakan di kota besar tahun ini,olahraga
22,Pelatih baru membawa angin segar bagi tim sepak bola lokal,olahraga
23,Laga UFC malam ini penuh dengan aksi spektakuler,olahraga
24,Atlet panahan Indonesia meraih medali perak di ajang internasional,olahraga
25,Kompetisi eSports semakin populer di kalangan anak muda,olahraga
26,Klub sepak bola tersebut berhasil lolos ke babak final,olahraga
27,Pertandingan tinju dunia malam ini sangat ditunggu-tunggu,olahraga
28,Tim rugby New Zealand memenangkan pertandingan dengan skor telak,olahraga
29,Atlet senam artistik mempersembahkan penampilan yang memukau,olahraga
30,Tim basket sekolah kita memenangkan turnamen antar sekolah,olahraga
31,Chelsea FC baru saja mendatangkan pemain bintang baru,olahraga
32,Tim futsal Indonesia tampil impresif di kejuaraan Asia,olahraga
33,Final Liga Champions tahun ini akan digelar di Istanbul,olahraga
34,Atletik merupakan salah satu cabang olahraga tertua di dunia,olahraga
35,Pertandingan bola voli pantai sangat menarik untuk ditonton,olahraga
36,Tim kriket India tampil dominan di pertandingan internasional,olahraga
37,Paris Saint-Germain membeli pemain dengan harga fantastis,olahraga
38,Lomba balap sepeda Tour de France berlangsung sangat menegangkan,olahraga
39,Atlet paralimpiade menunjukkan semangat luar biasa di setiap pertandingan,olahraga
40,Kejuaraan dunia gulat diikuti oleh negara-negara dari berbagai benua,olahraga
41,Petinju Indonesia berhasil mempertahankan gelar juara dunia,olahraga
42,Tim sepak bola wanita semakin menunjukkan kualitasnya di kancah internasional,olahraga
43,Kejuaraan dunia catur diselenggarakan setiap dua tahun sekali,olahraga
44,Laga final NBA tahun ini sangat seru dan dramatis,olahraga
45,Atlet ski es asal Norwegia memenangkan medali emas di Olimpiade,olahraga
46,Pertandingan badminton antara dua pemain top dunia sangat ditunggu-tunggu,olahraga
47,Tim sepak bola lokal berhasil promosi ke liga utama,olahraga
48,Kompetisi triathlon menguji ketahanan fisik dan mental para atlet,olahraga
49,Pertandingan polo air berlangsung sangat sengit dan kompetitif,olahraga
50,Tim bisbol Jepang menjadi juara di turnamen internasional,olahraga
51,Atlet lompat jauh mencetak rekor baru di kejuaraan nasional,olahraga
52,Tim sepak takraw Indonesia meraih prestasi gemilang di kejuaraan Asia,olahraga
53,Pertandingan sepak bola antar klub Eropa sangat menarik perhatian,olahraga
54,Atlet bersepeda Indonesia berhasil menjuarai lomba di Malaysia,olahraga
55,Tim renang estafet meraih medali emas dengan catatan waktu terbaik,olahraga
56,Pertandingan sofbol di Olimpiade sangat menarik untuk ditonton,olahraga
57,Atlet lompat tinggi menunjukkan teknik yang luar biasa di setiap lompatan,olahraga
